year,year0,count
1860,0,5
1861,1,3
1862,2,0
1863,3,2
1864,4,0
1865,5,3
1866,6,2
1867,7,3
1868,8,6
1869,9,1
1870,10,2
1871,11,1
1872,12,2
1873,13,1
1874,14,3
1875,15,3
1876,16,3
1877,17,5
1878,18,2
1879,19,4
1880,20,4
1881,21,0
1882,22,2
1883,23,3
1884,24,7
1885,25,12
1886,26,3
1887,27,10
1888,28,9
1889,29,2
1890,30,3
1891,31,7
1892,32,7
1893,33,2
1894,34,3
1895,35,3
1896,36,6
1897,37,2
1898,38,4
1899,39,3
1900,40,5
1901,41,2
1902,42,2
1903,43,4
1904,44,0
1905,45,4
1906,46,2
1907,47,5
1908,48,2
1909,49,3
1910,50,3
1911,51,6
1912,52,5
1913,53,8
1914,54,3
1915,55,6
1916,56,6
1917,57,0
1918,58,5
1919,59,2
1920,60,2
1921,61,2
1922,62,6
1923,63,3
1924,64,4
1925,65,4
1926,66,2
1927,67,2
1928,68,4
1929,69,7
1930,70,5
1931,71,3
1932,72,3
1933,73,0
1934,74,2
1935,75,2
1936,76,2
1937,77,1
1938,78,3
1939,79,4
1940,80,2
1941,81,2
1942,82,1
1943,83,1
1944,84,1
1945,85,2
1946,86,1
1947,87,4
1948,88,4
1949,89,3
1950,90,2
1951,91,1
1952,92,4
1953,93,1
1954,94,1
1955,95,1
1956,96,0
1957,97,0
1958,98,2
1959,99,0
