sex,age,class,fare,survived
male,22,3rd,7.25,no
female,38,1st,71.2833,yes
female,26,3rd,7.925,yes
female,35,1st,53.1,yes
male,35,3rd,8.05,no
male,27,3rd,8.4583,no
male,54,1st,51.8625,no
male,2,3rd,21.075,no
female,27,3rd,11.1333,yes
female,14,2nd,30.0708,yes
female,4,3rd,16.7,yes
female,58,1st,26.55,yes
male,20,3rd,8.05,no
male,39,3rd,31.275,no
female,14,3rd,7.8542,no
female,55,2nd,16,yes
male,2,3rd,29.125,no
male,23,2nd,13,yes
female,31,3rd,18,no
female,22,3rd,7.225,yes
male,35,2nd,26,no
male,34,2nd,13,yes
female,15,3rd,8.0292,yes
male,28,1st,35.5,yes
female,8,3rd,21.075,no
female,38,3rd,31.3875,yes
male,26,3rd,7.225,no
male,19,1st,263,no
female,24,3rd,7.8792,yes
male,23,3rd,7.8958,no
male,40,1st,27.7208,no
female,48,1st,146.5208,yes
female,18,3rd,7.75,yes
male,66,2nd,10.5,no
male,28,1st,82.1708,no
male,42,1st,52,no
male,18,3rd,7.2292,yes
male,21,3rd,8.05,no
female,18,3rd,18,no
female,14,3rd,11.2417,yes
female,40,3rd,9.475,no
female,27,2nd,21,no
female,3,2nd,41.5792,yes
female,19,3rd,7.8792,yes
male,30,3rd,8.05,no
male,20,3rd,15.5,no
female,27,3rd,7.75,yes
male,16,3rd,21.6792,no
female,18,3rd,17.8,no
male,7,3rd,39.6875,no
male,21,3rd,7.8,no
female,49,1st,76.7292,yes
female,29,2nd,26,yes
male,65,1st,61.9792,no
male,46,1st,35.5,yes
female,21,2nd,10.5,yes
male,28.5,3rd,7.2292,no
female,5,2nd,27.75,yes
male,11,3rd,46.9,no
male,22,3rd,7.2292,no
female,38,1st,80,yes
male,45,1st,83.475,no
male,4,3rd,27.9,no
male,64,1st,27.7208,no
male,7,3rd,15.2458,yes
female,29,2nd,10.5,yes
male,19,3rd,8.1583,no
female,17,3rd,7.925,yes
male,26,3rd,8.6625,no
male,32,2nd,10.5,no
female,16,3rd,46.9,no
male,21,2nd,73.5,no
male,26,3rd,14.4542,no
male,32,3rd,56.4958,yes
male,25,3rd,7.65,no
male,23,3rd,7.8958,no
male,28,3rd,8.05,no
male,0.83,2nd,29,yes
female,30,3rd,12.475,yes
male,22,3rd,9,no
male,29,3rd,9.5,yes
female,31,3rd,7.7875,yes
male,28,1st,47.1,no
female,17,2nd,10.5,yes
female,33,3rd,15.85,yes
male,16,3rd,34.375,no
male,20,3rd,8.05,no
female,23,1st,263,yes
male,24,3rd,8.05,no
male,29,3rd,8.05,no
male,20,3rd,7.8542,no
male,46,1st,61.175,no
male,26,3rd,20.575,no
male,59,3rd,7.25,no
male,22,3rd,8.05,no
male,71,1st,34.6542,no
male,23,1st,63.3583,yes
female,34,2nd,23,yes
male,34,2nd,26,no
female,28,3rd,7.8958,no
male,29,3rd,7.8958,no
male,21,1st,77.2875,no
male,33,3rd,8.6542,no
male,37,3rd,7.925,no
male,28,3rd,7.8958,no
female,21,3rd,7.65,yes
male,29,3rd,7.775,yes
male,38,3rd,7.8958,no
female,28,3rd,24.15,yes
male,47,1st,52,no
female,14.5,3rd,14.4542,no
male,22,3rd,8.05,no
female,20,3rd,9.825,no
female,17,3rd,14.4583,no
male,21,3rd,7.925,no
male,70.5,3rd,7.75,no
male,29,2nd,21,no
male,24,1st,247.5208,no
female,2,3rd,31.275,no
male,21,2nd,73.5,no
male,19,3rd,8.05,no
male,32.5,2nd,30.0708,no
female,32.5,2nd,13,yes
male,54,1st,77.2875,no
male,12,3rd,11.2417,yes
male,19,3rd,7.75,no
male,24,3rd,7.1417,yes
female,2,3rd,22.3583,yes
male,45,3rd,6.975,no
male,33,3rd,7.8958,no
male,20,3rd,7.05,no
female,47,3rd,14.5,no
female,29,2nd,26,yes
male,25,2nd,13,no
male,23,2nd,15.0458,no
female,19,1st,26.2833,yes
male,37,1st,53.1,no
male,16,3rd,9.2167,no
male,24,1st,79.2,no
female,40,3rd,15.2458,no
female,22,3rd,7.75,yes
female,24,3rd,15.85,yes
male,19,3rd,6.75,no
male,18,2nd,11.5,no
male,19,2nd,36.75,no
male,27,3rd,7.7958,yes
female,9,3rd,34.375,no
male,36.5,2nd,26,no
male,42,2nd,13,no
male,51,2nd,12.525,no
female,22,1st,66.6,yes
male,55.5,3rd,8.05,no
male,40.5,3rd,14.5,no
male,27,3rd,7.3125,no
male,51,1st,61.3792,no
female,16,3rd,7.7333,yes
male,30,3rd,8.05,no
male,37,3rd,8.6625,no
male,5,3rd,69.55,no
male,44,3rd,16.1,no
female,40,2nd,15.75,yes
male,26,3rd,7.775,no
male,17,3rd,8.6625,no
male,1,3rd,39.6875,no
male,9,3rd,20.525,yes
female,48,1st,55,yes
female,45,3rd,27.9,no
male,60,1st,25.925,no
male,28,3rd,56.4958,no
male,61,1st,33.5,no
male,4,3rd,29.125,no
female,1,3rd,11.1333,yes
male,21,3rd,7.925,no
male,56,1st,30.6958,no
male,18,3rd,7.8542,no
male,5,3rd,25.4667,no
female,50,1st,28.7125,no
male,30,2nd,13,no
male,36,3rd,0,no
female,8,3rd,69.55,no
male,39,2nd,15.05,no
male,9,3rd,31.3875,no
male,1,2nd,39,yes
female,4,3rd,22.025,yes
male,39,1st,50,no
female,26,3rd,15.5,yes
male,45,1st,26.55,yes
male,40,3rd,15.5,no
male,36,3rd,7.8958,no
female,32,2nd,13,yes
male,19,2nd,13,no
female,19,3rd,7.8542,yes
male,3,2nd,26,yes
female,44,1st,27.7208,yes
female,58,1st,146.5208,yes
male,28,3rd,7.75,no
male,42,3rd,8.4042,no
female,21,3rd,7.75,yes
female,24,2nd,13,no
male,28,3rd,9.5,no
male,17,3rd,69.55,no
male,34,3rd,6.4958,no
male,45.5,3rd,7.225,no
male,18,3rd,8.05,yes
female,2,3rd,10.4625,no
male,32,3rd,15.85,no
male,26,3rd,18.7875,yes
female,16,3rd,7.75,yes
male,40,1st,31,yes
male,24,3rd,7.05,no
female,35,2nd,21,yes
